well,id,well-id,well-id,puncta,group,last_tp,Cy5-mean-1,Cy5-mean-2,Cy5-mean-3,Cy5-mean-4,Cy5-std-1,Cy5-std-2,Cy5-std-3,Cy5-std-4,Cy5-CV-1,Cy5-CV-2,Cy5-CV-3,Cy5-CV-4
A11,1,A11-1,A11-1,0,ubqln2-P506T-?UBL,2,70.67600897,84.75409836,NA,NA,27.61907296,25.96807986,NA,NA,0.390784276,0.306393205,NA,NA
A11,10,A11-10,A11-10,0,ubqln2-P506T-?UBL,1,105.7727273,NA,NA,NA,37.66194305,NA,NA,NA,0.356064782,NA,NA,NA
A11,13,A11-13,A11-13,0,ubqln2-P506T-?UBL,6,109.592,144.1577726,146.3700234,178.3180077,36.91163416,80.41371089,83.83994923,107.0366895,0.336809568,0.557817379,0.572794533,0.600257321
A11,15,A11-15,A11-15,0,ubqln2-P506T-?UBL,1,80.69122807,NA,NA,NA,26.07558703,NA,NA,NA,0.323152685,NA,NA,NA
A11,16,A11-16,A11-16,0,ubqln2-P506T-?UBL,1,60.3251634,NA,NA,NA,27.25917404,NA,NA,NA,0.451870704,NA,NA,NA
A11,17,A11-17,A11-17,0,ubqln2-P506T-?UBL,1,81.97054264,NA,NA,NA,30.94171666,NA,NA,NA,0.37747361,NA,NA,NA
A11,19,A11-19,A11-19,0,ubqln2-P506T-?UBL,1,91.38250429,NA,NA,NA,22.77075332,NA,NA,NA,0.249180666,NA,NA,NA
A11,25,A11-25,A11-25,0,ubqln2-P506T-?UBL,1,65.26209677,NA,NA,NA,33.44952648,NA,NA,NA,0.5125414,NA,NA,NA
A11,27,A11-27,A11-27,0,ubqln2-P506T-?UBL,1,69.77336449,NA,NA,NA,32.36405848,NA,NA,NA,0.463845462,NA,NA,NA
A11,30,A11-30,A11-30,0,ubqln2-P506T-?UBL,9,104.0951087,95.38695652,95.7377313,90.94677312,34.69406944,26.62718135,101.1125103,124.2626148,0.333292024,0.279149082,1.056140656,1.366322416
