well,id,well-id,group,last_tp,Cy5-mean-1,Cy5-mean-2,Cy5-mean-3,Cy5-mean-4,Cy5-std-1,Cy5-std-2,Cy5-std-3,Cy5-std-4,Cy5-CV-1,Cy5-CV-2,Cy5-CV-3,Cy5-CV-4
A01,1,A01-1,iRFP,8,75.93153001,82.55111111,91.55729167,79.53387534,24.74193865,20.66275901,19.32794956,17.78628217,0.325845385,0.250302615,0.211102242,0.223631529
A01,10,A01-10,iRFP,8,53.62559242,90.26034063,81.30740038,72.49538867,16.99466813,23.08504378,18.53701365,19.79096072,0.316913387,0.255760654,0.227986795,0.272996132
A01,11,A01-11,iRFP,8,43.56476684,80.70896391,72.44126984,59.88353863,15.66203518,19.50956426,16.30356829,16.43719214,0.359511512,0.241727354,0.225059118,0.274485986
A01,12,A01-12,iRFP,3,60.59618718,88.46935725,90.13043478,NA,17.72879218,20.57051098,18.00944932,NA,0.292572734,0.23251566,0.199815405,NA
A01,13,A01-13,iRFP,9,47.90814196,74.1799687,78.41748768,70.38398115,17.26098079,19.63677619,16.68468339,18.00513021,0.360293263,0.264718044,0.21276738,0.255812898
A01,14,A01-14,iRFP,8,86.44534413,124.8091144,113.6515705,101.4611808,18.07866438,22.66480909,18.59362818,20.24779673,0.209134044,0.181595785,0.163602035,0.199562005
A01,16,A01-16,iRFP,8,43.13189448,74.45838668,71.20670996,69.66110532,16.08727291,20.31940526,17.0972365,21.9610248,0.372978584,0.272896126,0.240107098,0.315255187
A01,17,A01-17,iRFP,9,56.82013201,105.2268623,87.81568228,77.11888782,16.11455456,21.45801193,17.66748883,17.27120698,0.283606426,0.203921427,0.201188311,0.223955602
A01,18,A01-18,iRFP,7,45.64365256,94.28361435,78.30522088,73.10169029,15.40984156,20.70159332,17.41512691,18.55603284,0.337611928,0.219567244,0.222400585,0.253838629
A01,19,A01-19,iRFP,8,41.10386473,86.5703125,67.15248963,60.0300578,15.46107266,20.14023299,16.11597568,17.29302771,0.376146446,0.232645955,0.23999074,0.288072815
A01,2,A01-2,iRFP,1,48.01104972,NA,NA,NA,17.29924756,NA,NA,NA,0.360318045,NA,NA,NA
A01,20,A01-20,iRFP,2,76.47959184,113.6017505,NA,NA,18.16131209,21.18252028,NA,NA,0.237466122,0.186462974,NA,NA
A01,21,A01-21,iRFP,3,38.17241379,72.08626198,65.75844156,NA,15.39449764,19.10221407,16.05740797,NA,0.403288556,0.264991047,0.244187782,NA
A01,22,A01-22,iRFP,3,41.85313175,85.44962687,75.79,NA,16.62845235,20.46322876,15.53144874,NA,0.397304853,0.239477099,0.204927414,NA
A01,24,A01-24,iRFP,5,55.51048951,94.15959253,76.39804469,67.95154778,16.55331168,20.71903557,16.14587643,16.65395792,0.298201508,0.220041687,0.21133887,0.245085778
A01,25,A01-25,iRFP,1,67.00587084,NA,NA,NA,17.51013027,NA,NA,NA,0.26132233,NA,NA,NA
A01,26,A01-26,iRFP,9,63.87550201,84.99628942,80.76886792,70.17472119,17.57372772,19.50643263,15.92726311,16.72551066,0.27512469,0.229497461,0.197195572,0.238340963
A01,27,A01-27,iRFP,2,41.97981651,91.69709544,NA,NA,15.71843877,21.60085752,NA,NA,0.374428477,0.235567522,NA,NA
A01,28,A01-28,iRFP,1,40.15816327,NA,NA,NA,15.66959504,NA,NA,NA,0.390197005,NA,NA,NA
A01,29,A01-29,iRFP,4,33.21613833,72.55841584,62.11005693,51.73062016,15.89634921,20.30005252,16.55074519,16.79040633,0.478573068,0.279775299,0.266474481,0.324573846
A01,3,A01-3,iRFP,2,47.21679198,83.70286278,NA,NA,16.72876258,21.2436986,NA,NA,0.354296891,0.253798949,NA,NA
